mol,Name,MW,pubnum,pub1,id1,pubname1,value1,error1,dimension1,process,te53p,pH,status1,purity1,conv,final,dimension3,error,comments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,
NN,hydrazine,32.048,,"[Kelly, 2005 #752]",,Table S1,-6.26,1.93,kcal/mol,FEOH,298.15K,,measured,,,,,,,,,,
OO,hydrogen peroxide,34.01,,"[Kelly, 2005 #752]",,Table S1,-8.58,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
S,hydrogen sulfide,34.08,,"[Kelly, 2005 #752]",,Table S1,-0.7,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
C,methane,16.04,,"[Kelly, 2005 #752]",,Table S1,2,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
SC,methanethiol,48.11,,"[Kelly, 2005 #752]",,Table S1,-1.24,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
OC,methanol,32.04,,"[Kelly, 2005 #752]",,Table S1,-5.11,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
COC,methoxymethane,46.07,,"[Kelly, 2005 #752]",,Table S1,-1.92,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O(C(=O)C)C,methyl acetate,74.08,,"[Kelly, 2005 #752]",,Table S1,-3.32,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O(C(=O)c1ccccc1)C,methyl benzoate,136.15,,"[Kelly, 2005 #752]",,Table S1,-3.91,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O(C(=O)CCC)C,Methyl butanoate,102.13,,"[Kelly, 2005 #752]",,Table S1,-2.83,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,"ref state is `an uncharged vacuum reference state`, ie. -dG = M(aq) >> M(gas) at 300K / 27dC",,,,
O(C=O)C,methyl formate,60.05,,"[Kelly, 2005 #752]",,Table S1,-2.78,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O(C(=O)CCCCC)C,methyl hexanoate,130.19,,"[Kelly, 2005 #752]",,Table S1,-2.49,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O(C(=O)CCCCCCC)C,methyl octanoate,158.24,,"[Kelly, 2005 #752]",,Table S1,-2.04,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an estimated value (SM5.4/AM1),,,,
COC(=O)CCCC,methyl pentanoate,116.16,,"[Kelly, 2005 #752]",,Table S1,-2.57,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an estimated value (SM5.4/PM3),,,,
O(C(=O)CC)C,Methyl propanoate,88.11,,"[Kelly, 2005 #752]",,Table S1,-2.93,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an estimated value (PSGVB),,,,
NC,methylamine,31.06,,"[Kelly, 2005 #752]",,Table S1,-4.56,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an estimated value (MC-AOC),,,,
C1CCCCC1C,methylcyclohexane,98.19,,"[Kelly, 2005 #752]",,Table S1,1.71,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an experimental measurement,,,,
CNN,methylhydrazine,46.075,,"[Kelly, 2005 #752]",,Table S1,-5.31,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O1CCNCC1,morpholine,87.12,,"[Kelly, 2005 #752]",,Table S1,-7.17,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
N(C)(C)c1ccccc1,"N,N-dimethylaniline",121.18,,"[Kelly, 2005 #752]",,Table S1,-3.58,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
c12c(cccc1)cccc2,naphthalene,128.17,,"[Kelly, 2005 #752]",,Table S1,-2.39,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
N(CC)c1ccccc1,N-ethylaniline,121.18,,"[Kelly, 2005 #752]",,Table S1,-4.62,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O=[N+]([O-])c1ccccc1,nitrobenzene,123.11,,"[Kelly, 2005 #752]",,Table S1,-4.12,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,methyl ethyl ether,,,,
N(=O)(=O)CC,nitroethane,75.07,,"[Kelly, 2005 #752]",,Table S1,-3.71,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
N(=O)(=O)C,nitromethane,61.04,,"[Kelly, 2005 #752]",,Table S1,-3.95,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
N(C)c1ccccc1,N-methylaniline,107.16,,"[Kelly, 2005 #752]",,Table S1,-4.68,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
Clc1cc(Cl)ccc1OP(=S)(OCC)OCC,"O-(2,4-dichlorophenyl) O,O-diethyl  phosphorothioate",313.153,,"[Kelly, 2005 #752]",,Table S1,-3.86,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
Brc1cc(Cl)c(OP(=S)(OC)OC)cc1Cl,"O-(4-Bromo-2,5-dichlorophenyl) O,O-dimethyl phosphorothioate",364.007,,"[Kelly, 2005 #752]",,Table S1,-5.7,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
S(C)c1ccc(OP(=S)(OC)OC)cc1C,"O,O-Dimethyl O-(3-methyl-4-methylthiophenyl) thiophosphate",278.33,,"[Kelly, 2005 #752]",,Table S1,-6.92,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
Clc1cc(Cl)c(Cl)cc1OP(=S)(OC)OC,"O,O-dimethyl O-2,4,5-trichlorophenyl thiophosphate",321.545,,"[Kelly, 2005 #752]",,Table S1,-5.06,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
COP(=S)(Oc1ccc(cc1)N(=O)=O)OC,"O,O-dimethyl O-4-nitrophenyl thiophosphate",263.21,,"[Kelly, 2005 #752]",,Table S1,-7.62,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an estimated value (SM5.4/AM1),,,,
ClC1CCC2CCC12OP(OC)(OC)=O,"O,O-Dimethyl O-5-(4-chloro)bicyclo[3.2.0]heptyl phosphate ",254.65,,"[Kelly, 2005 #752]",,Table S1,-7.28,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an estimated value (SM5.4/PM3),,,,
FC(F)(C(F)(F)F)C(F)(F)F,octafluoropropane,188.02,,"[Kelly, 2005 #752]",,Table S1,4.28,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an estimated value (MC-AOC),,,,
O=CCCCCCCC,octanal,128.22,,"[Kelly, 2005 #752]",,Table S1,-2.29,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an experimental measurement,,,,
CCCCCCCC,octane,114.23,,"[Kelly, 2005 #752]",,Table S1,2.89,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
Brc1cc(Cl)c(OP(SCCC)(OCC)=O)cc1,O-ethyl O-4-bromo-2-chlorophenyl S-propyl phosphorothioate,371.639,,"[Kelly, 2005 #752]",,Table S1,-4.09,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O=CCCCC,pentanal,86.13,,"[Kelly, 2005 #752]",,Table S1,-3.03,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
CCCCC,pentane,72.15,,"[Kelly, 2005 #752]",,Table S1,2.33,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
OC(=O)CCCC,pentanoic acid,102.13,,"[Kelly, 2005 #752]",,Table S1,-6.16,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
C(=O)(C)OCCCCC,pentyl acetate ,130.19,,"[Kelly, 2005 #752]",,Table S1,-2.45,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
NCCCCC,pentylamine,87.17,,"[Kelly, 2005 #752]",,Table S1,-4.1,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
Oc1ccccc1,phenol,94.11,,"[Kelly, 2005 #752]",,Table S1,-6.62,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
P,phosphine,34,,"[Kelly, 2005 #752]",,Table S1,0.6,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
N1CCNCC1,piperazine,86.14,,"[Kelly, 2005 #752]",,Table S1,-7.4,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
N1CCCCC1,piperidine,85.15,,"[Kelly, 2005 #752]",,Table S1,-5.11,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O=CCC,propanal,58.08,,"[Kelly, 2005 #752]",,Table S1,-3.44,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
CCC,propane,44.1,,"[Kelly, 2005 #752]",,Table S1,1.96,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
N#CCC,propanenitrile,55.08,,"[Kelly, 2005 #752]",,Table S1,-3.85,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
OC(=O)CC,propanoic acid,74.08,,"[Kelly, 2005 #752]",,Table S1,-6.47,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an estimated value (SM5.4/AM1),,,,
C=CC,Propene,42.08,,"[Kelly, 2005 #752]",,Table S1,1.27,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an estimated value (SM5.4/PM3),,,,
O(C(=O)C)CCC,propyl acetate,102.13,,"[Kelly, 2005 #752]",,Table S1,-2.86,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an estimated value (MC-AOC),,,,
NCCC,propylamine,59.11,,"[Kelly, 2005 #752]",,Table S1,-4.39,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,citing an experimental measurement,,,,
C#CC,propyne,40.06,,"[Kelly, 2005 #752]",,Table S1,-0.31,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
n1ccccc1,pyridine,79.1,,"[Kelly, 2005 #752]",,Table S1,-4.7,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
N1CCCC1,pyrrolidine,71.12,,"[Kelly, 2005 #752]",,Table S1,-5.48,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
ClC(Cl)=C(Cl)Cl,tetrachloroethene,165.83,,"[Kelly, 2005 #752]",,Table S1,0.05,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
FC(F)(F)F,tetrafluoromethane,88,,"[Kelly, 2005 #752]",,Table S1,3.16,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O1CCCC1,tetrahydrofuran,72.11,,"[Kelly, 2005 #752]",,Table S1,-3.47,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O1CCCCC1,tetrahydropyran,86.13,,"[Kelly, 2005 #752]",,Table S1,-3.12,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
s1cccc1,thiophene,84.14,,"[Kelly, 2005 #752]",,Table S1,-1.42,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
c1ccccc1C,toluene,92.14,,"[Kelly, 2005 #752]",,Table S1,-0.89,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
BrC(Br)Br,tribromomethane,252.73,,"[Kelly, 2005 #752]",,Table S1,-1.98,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
ClC(Cl)=CCl,trichloroethene,131.39,,"[Kelly, 2005 #752]",,Table S1,-0.39,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
FC(Cl)(Cl)Cl,trichlorofluoromethane,137.382,,"[Kelly, 2005 #752]",,Table S1,0.82,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
ClC(Cl)Cl,trichloromethane,119.38,,"[Kelly, 2005 #752]",,Table S1,-1.07,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
P(OCC)(OCC)(OCC)=O,triethyl phosphate,180.145,,"[Kelly, 2005 #752]",,Table S1,-7.8,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
COP(=O)(OC)OC,trimethyl phosphate,140.08,,"[Kelly, 2005 #752]",,Table S1,-8.7,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
N(C)(C)C,trimethylamine,59.11,,"[Kelly, 2005 #752]",,Table S1,-3.23,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
P(OCCC)(OCCC)(OCCC)=O,tripropyl phosphate,224.24,,"[Kelly, 2005 #752]",,Table S1,-6.1,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O=C(N)N,urea,60.06,,"[Kelly, 2005 #752]",,Table S1,-13.8,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
O,water,18.01,,"[Kelly, 2005 #752]",,Table S1,-6.31,1.93,kcal/mol,FEOH,298.15K,,cited,,,,,,,,,,
c1ccccc1C(C)(C)C,"(1,1-dimethylethyl)benzene",134.22,Article,"[Levy, 2002 #277]",,Table 4,-0.44,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
c1ccccc1C(C)C,(1-methylethyl)benzene,120.2,Article,"[Levy, 2002 #277]",,Table 4,-0.3,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O=C\C=C\C=C\C,"(E),(E)-2,4-hexadienal",110.11,Article,"[Levy, 2002 #277]",,Table 4,-4.63,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O=C\C=C\C,(E)-2-butenal,70.09,Article,"[Levy, 2002 #277]",,Table 4,-4.23,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C/C=C/CC,(E)-2-pentene,70.14,Article,"[Levy, 2002 #277]",,Table 4,1.93,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
CSc1ccccc1,(methylthio)benzene,124.21,Article,"[Levy, 2002 #277]",,Table 4,-2.73,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
c1c(C)c(ccc1C)C,"1,2,4-trimethylbenzene",120.2,Article,"[Levy, 2002 #277]",,Table 4,-0.86,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
c1cccc(C)c1C,"1,2-dimethylbenzene",106.17,Article,"[Levy, 2002 #277]",,Table 4,-0.9,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OCCO,"1,2-ethanediol",62.07,Article,"[Levy, 2002 #277]",,Table 4,-9.6,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C=CC=C,"1,3-butadiene",54.09,Article,"[Levy, 2002 #277]",,Table 4,0.6,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
c1c(cccc1C)C,"1,3-dimethylbenzene",106.17,Article,"[Levy, 2002 #277]",,Table 4,-0.84,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
c1c(c2c(cc1C)cccc2)C,"1,3-dimethylnaphthalene",156.23,Article,"[Levy, 2002 #277]",,Table 4,-2.47,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O1COCC1,"1,3-dioxolane",74.08,Article,"[Levy, 2002 #277]",,Table 4,-4.1,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
Cc1ccc(cc1)C,"1,4-dimethylbenzene",106.17,Article,"[Levy, 2002 #277]",,Table 4,-0.81,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
c12c(cccc1)c(ccc2C)C,"1,4-dimethylnaphthalene",156.23,Article,"[Levy, 2002 #277]",,Table 4,-2.82,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O1CCOCC1,"1,4-dioxane",88.11,Article,"[Levy, 2002 #277]",,Table 4,-5.05,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C(C=C)C=C,"1,4-pentadiene",68.12,Article,"[Levy, 2002 #277]",,Table 4,0.94,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OCCCC,1-butanol,74.12,Article,"[Levy, 2002 #277]",,Table 4,-4.72,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C=CCC,1-butene,56.11,Article,"[Levy, 2002 #277]",,Table 4,1.38,1.93,kCal/mol,DGS,25,,measured,,12 10,-2.46,kcal/mol,,,,,,
C#CCC,1-butyne,54.09,Article,"[Levy, 2002 #277]",,Table 4,-0.16,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O(CCC)CC,1-ethoxypropane,88.15,Article,"[Levy, 2002 #277]",,Table 4,-1.81,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OCCCCCC,1-hexanol,102.18,Article,"[Levy, 2002 #277]",,Table 4,-4.36,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C=CCCCC,1-hexene,84.16,Article,"[Levy, 2002 #277]",,Table 4,1.68,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
NCCCCCC,1-hexylamine,101.19,Article,"[Levy, 2002 #277]",,Table 4,-4.03,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C#CCCCC,1-hexyne,82.15,Article,"[Levy, 2002 #277]",,Table 4,0.29,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O(CCC)C,1-methoxypropane,74.12,Article,"[Levy, 2002 #277]",,Table 4,-1.66,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
Cn1c(=O)cccc1,1-methyl-2(1h)-pyridone,95.1,Article,"[Levy, 2002 #277]",,Table 4,-10,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
c12c(cccc1C)cccc2,1-methylnaphthalene,142.2,Article,"[Levy, 2002 #277]",,Table 4,-2.37,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
CN1CCCCC1,1-methylpiperidine,99.18,Article,"[Levy, 2002 #277]",,Table 4,-3.89,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
CN1CCCC1,1-methylpyrrolidine,85.15,Article,"[Levy, 2002 #277]",,Table 4,-3.98,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
N(=O)(=O)CCC,1-nitropropane,89.09,Article,"[Levy, 2002 #277]",,Table 4,-3.34,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OCCCCC,1-pentanol,88.15,Article,"[Levy, 2002 #277]",,Table 4,-4.47,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C=CCCC,1-pentene,70.14,Article,"[Levy, 2002 #277]",,Table 4,1.4,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C#CCCC,1-pentyne,68.12,Article,"[Levy, 2002 #277]",,Table 4,0.01,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OCCC,1-propanol,60.1,Article,"[Levy, 2002 #277]",,Table 4,-4.83,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O(CCC)CCC,1-propoxypropane,102.18,Article,"[Levy, 2002 #277]",,Table 4,-1.15,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
CC(C)(C)C,"2,2-dimethylpropane",72.15,Article,"[Levy, 2002 #277]",,Table 4,2.5,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OC(C(C)C)(C)C,"2,3-dimethyl-2-butanol",102.18,Article,"[Levy, 2002 #277]",,Table 4,-3.91,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C(C(C)C)(C)C,"2,3-dimethylbutane",86.18,Article,"[Levy, 2002 #277]",,Table 4,2.59,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
c1c2c(cc(C)c1C)cccc2,"2,3-dimethylnaphthalene",156.23,Article,"[Levy, 2002 #277]",,Table 4,-2.78,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
n1cccc(C)c1C,"2,3-dimethylpyridine",107.16,Article,"[Levy, 2002 #277]",,Table 4,-4.83,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O=C(C(C)C)C(C)C,"2,4-dimethyl-3-pentanone",114.19,Article,"[Levy, 2002 #277]",,Table 4,-2.74,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O1C(CCC1C)C,"2,5-dimethyltetrahydrofuran",100.16,Article,"[Levy, 2002 #277]",,Table 4,-2.92,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
n1c(cccc1C)C,"2,6-dimethylpyridine",108.14,Article,"[Levy, 2002 #277]",,Table 4,-4.6,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
n1c(cncc1C(C)(C)C)C(C)(C)C,"2,6-di-tert-Butylpyridine",192.31,Article,"[Levy, 2002 #277]",,Table 4,-0.41,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
c1c2cc(ccc2ccc1C)C,"2,7-dimethylnaphthalene",156.23,Article,"[Levy, 2002 #277]",,Table 4,-2.63,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OC(CC)C,2-butanol,74.12,Article,"[Levy, 2002 #277]",,Table 4,-4.58,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CC)C,2-butanone,72.11,Article,"[Levy, 2002 #277]",,Table 4,-3.64,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O(C)c1nccnc1CC,2-ethyl-3-methoxypyrazine,138.17,Article,"[Levy, 2002 #277]",,Table 4,-4.4,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
n1ccncc1CC,2-ethylpyrazine,108.14,Article,"[Levy, 2002 #277]",,Table 4,-5.46,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
n1ccccc1CC,2-ethylpyridine,107.16,Article,"[Levy, 2002 #277]",,Table 4,-4.33,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CCCCC)C,2-heptanone,114.19,Article,"[Levy, 2002 #277]",,Table 4,-3.04,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CCCC)C,2-hexanone,100.16,Article,"[Levy, 2002 #277]",,Table 4,-3.29,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
COC(C)(C)C,2-methoxy-2-methylpropane,88.15,Article,"[Levy, 2002 #277]",,Table 4,-2.21,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
COCCO,2-methoxyethanol,76.1,Article,"[Levy, 2002 #277]",,Table 4,-6.8,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
COCCN,2-methoxyethylamine,75.11,Article,"[Levy, 2002 #277]",,Table 4,-6.6,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
COC(C)C,2-methoxypropane,74.12,Article,"[Levy, 2002 #277]",,Table 4,-2.01,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C(C=C)(C)=C,"2-methyl-1,3-butadiene",68.12,Article,"[Levy, 2002 #277]",,Table 4,0.68,1.93,kCal/mol,DGS,25,,cited,,,,,,citing an estimated value (SM5.4/AM1),,,,
OCC(C)C,2-methyl-1-propanol,74.12,Article,"[Levy, 2002 #277]",,Table 4,-4.52,1.93,kCal/mol,DGS,25,,cited,,,,,,citing an estimated value (SM5.4/PM3),,,,
OC(CC)(C)C,2-methyl-2-butanol,88.15,Article,"[Levy, 2002 #277]",,Table 4,-4.43,1.93,kCal/mol,DGS,25,,cited,,,,,,citing an estimated value (PSGVB),,,,
CC(=CC)C,2-methyl-2-butene,70.14,Article,"[Levy, 2002 #277]",,Table 4,1.31,1.93,kCal/mol,DGS,25,,cited,,,,,,citing an estimated value (MC-AOC),,,,
OC(CCC)(C)C,2-methyl-2-pentanol,102.18,Article,"[Levy, 2002 #277]",,Table 4,-3.93,1.93,kCal/mol,DGS,25,,cited,,,,,,citing an experimental measurement,,,,
OC(C)(C)C,2-methyl-2-propanol,74.12,Article,"[Levy, 2002 #277]",,Table 4,-4.51,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OC(C(C)C)CC,2-methyl-3-pentanol,102.18,Article,"[Levy, 2002 #277]",,Table 4,-3.89,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
CC(C)CC,2-methylbutane,72.15,Article,"[Levy, 2002 #277]",,Table 4,2.38,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
CC(C)CCC,2-methylpentane,86.18,Article,"[Levy, 2002 #277]",,Table 4,2.52,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
Oc1ccccc1C,2-methylphenol,108.14,Article,"[Levy, 2002 #277]",,Table 4,-5.87,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
CC(C)C,2-methylpropane,58.12,Article,"[Levy, 2002 #277]",,Table 4,2.32,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
n1ccncc1C,2-methylpyrazine,94.12,Article,"[Levy, 2002 #277]",,Table 4,-5.52,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
n1ccccc1C,2-methylpyridine,93.13,Article,"[Levy, 2002 #277]",,Table 4,-4.63,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O1CCCC1C,2-methyltetrahydrofuran,86.13,Article,"[Levy, 2002 #277]",,Table 4,-3.3,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
N(=O)(=O)C(C)C,2-nitropropane,89.09,Article,"[Levy, 2002 #277]",,Table 4,-3.14,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OC(CCC)C,2-pentanol,88.15,Article,"[Levy, 2002 #277]",,Table 4,-4.39,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O=C(CCC)C,2-pentanone,86.13,Article,"[Levy, 2002 #277]",,Table 4,-3.53,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OC(C)C,2-propanol,60.1,Article,"[Levy, 2002 #277]",,Table 4,-4.76,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OCC=C,2-propen-1-ol,58.08,Article,"[Levy, 2002 #277]",,Table 4,-4.8,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O(C(C)C)C(=O)C,2-propyl acetate,102.13,Article,"[Levy, 2002 #277]",,Table 4,-2.65,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O(C(C)C)C(=O)CC,2-propyl propanoate,116.16,Article,"[Levy, 2002 #277]",,Table 4,-2.22,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
Cc1cc(cnc1)C,"3,5-dimethylpyridine",107.16,Article,"[Levy, 2002 #277]",,Table 4,-4.84,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
n1cc(ccc1)CC,3-ethylpyridine,107.16,Article,"[Levy, 2002 #277]",,Table 4,-4.6,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OC(CCC)CC,3-hexanol,102.18,Article,"[Levy, 2002 #277]",,Table 4,-4.08,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
Oc1cc(ccc1)C=O,3-hydroxybenzaldehyde,122.12,Article,"[Levy, 2002 #277]",,Table 4,-9.5,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
Oc1cc(ccc1)C#N,3-Hydroxybenzonitrile ,119.12,Article,"[Levy, 2002 #277]",,Table 4,-9.67,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
OCCC(C)C,3-methyl-1-butanol,88.15,Article,"[Levy, 2002 #277]",,Table 4,-4.42,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
O=C(C(C)C)C,3-methyl-2-butanone,86.13,Article,"[Levy, 2002 #277]",,Table 4,-3.24,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
C(CC)(CC)C,3-methylpentane,86.18,Article,"[Levy, 2002 #277]",,Table 4,2.51,1.93,kCal/mol,DGS,25,,cited,,,,,,,,,,
